student_id,name,department,year,section,cluster,row,col
CS103,Carol,CS,1,B,0,1,1
CS101,Alice,CS,1,A,1,1,2
CS106,Frank,CS,3,A,2,1,3
EE104,Jack,EE,2,B,3,1,4
CS105,Eve,CS,2,B,0,1,5
CS102,Bob,CS,1,A,1,1,6
EE103,Ivy,EE,2,A,2,2,1
EE106,Leo,EE,3,B,3,2,2
EE102,Hank,EE,1,B,0,2,3
CS104,Dave,CS,2,A,1,2,4
EE105,Kate,EE,3,A,2,2,5
ME102,Noah,ME,1,B,3,2,6
CE102,Tina,CE,1,B,0,3,1
EE101,Grace,EE,1,A,1,3,2
ME103,Olivia,ME,2,A,2,3,3
ME104,Paul,ME,2,B,3,3,4
CE104,Victor,CE,2,B,0,3,5
ME101,Mia,ME,1,A,1,3,6
ME105,Quinn,ME,3,A,2,4,1
ME106,Rose,ME,3,B,3,4,2
CE106,Xander,CE,3,B,0,4,3
CE101,Sam,CE,1,A,1,4,4
CE105,Wendy,CE,3,A,2,4,5
CE103,Uma,CE,2,A,1,4,6
